ESTADO,CIUDAD,DISTRIBUIDOR,PARROQUIA,MUNICIPIO
Nueva Esparta ,San Juan Bautista,🌅 Oceano Pacifico 🟧,San Juan Bautista,Díaz
Nueva Esparta ,San Pedro de Coche,🌅 Oceano Pacifico 🟧,Vicente Fuentes,Villalba
Nueva Esparta ,Santa Ana de Nueva Esparta,🌅 Oceano Pacifico 🟧,Bolívar,Gómez
Nueva Esparta ,Villa Rosa,🌅 Oceano Pacifico 🟧,Porlamar,Mariño
Portuguesa ,Acarigua,🔷 Grupo Disbattery 🟦,Guasdualito,Páez
Portuguesa ,Agua Blanca,🔷 Grupo Disbattery 🟦,Agua Blanca,Agua Blanca
Portuguesa ,Araure,🔷 Grupo Disbattery 🟦,Capital Araure,Araure
Portuguesa ,Biscucuy,🔷 Grupo Disbattery 🟦,Cagua,Sucre
Portuguesa ,Boconoito,🔷 Grupo Disbattery 🟦,San Genaro de Boconoito,San Genaro de Boconoíto
Portuguesa ,Campo Elías,🔷 Grupo Disbattery 🟦,San Rafael de Onoto,San Rafael de Onoto
Portuguesa ,Chabasquén,🔷 Grupo Disbattery 🟦,Chabasquén,José Vicente de Unda
Portuguesa ,Guanare,🔷 Grupo Disbattery 🟦,Guanare,Guanare
Portuguesa ,Guanarito,🔷 Grupo Disbattery 🟦,Guanarito,Guanarito
Portuguesa ,La Aparición,🔷 Grupo Disbattery 🟦,Capital Ospino,Ospino
Portuguesa ,La Misión,🔷 Grupo Disbattery 🟦,Capital Ospino,Ospino
Portuguesa ,Mesa de Cavacas,🔷 Grupo Disbattery 🟦,Guanare,Guanare
Portuguesa ,Ospino,🔷 Grupo Disbattery 🟦,Capital Ospino,Ospino
Portuguesa ,Papelón,🔷 Grupo Disbattery 🟦,Papelón,Papelón
Portuguesa ,Payara,🔷 Grupo Disbattery 🟦,Guasdualito,Páez
Portuguesa ,Pimpinela,🔷 Grupo Disbattery 🟦,Guasdualito,Páez
Portuguesa ,Píritu de Portuguesa,🔷 Grupo Disbattery 🟦,Capital Esteller,Esteller
Portuguesa ,San Rafael de Onoto,🔷 Grupo Disbattery 🟦,San Rafael de Onoto,San Rafael de Onoto
Portuguesa ,Santa Rosalía,🔷 Grupo Disbattery 🟦,Santa Rosalía,Santa Rosalía
Portuguesa ,Turén,🔷 Grupo Disbattery 🟦,Turén,Turén
Sucre ,Altos de Sucre,🌅 Oceano Pacifico 🟧,Cagua,Sucre
Sucre ,Araya,🌅 Oceano Pacifico 🟧,Cruz Salmerón Acosta,Cruz Salmerón Acosta
Sucre ,Cariaco,🌅 Oceano Pacifico 🟧,Villa Frontado (Muelle de Cariaco),Ribero
Sucre ,Carúpano,🌅 Oceano Pacifico 🟧,Santa Catalina,Bermúdez
Sucre ,Casanay,🌅 Oceano Pacifico 🟧,El Cantón,Andrés Eloy Blanco
Sucre ,Cumaná,🌅 Oceano Pacifico 🟧,Cagua,Sucre
Sucre ,Cumanacoa,🌅 Oceano Pacifico 🟧,Cumanacoa,Montes
Sucre ,El Morro Puerto Santo,🌅 Oceano Pacifico 🟧,Santa Catalina,Bermúdez
Sucre ,El Pilar,🌅 Oceano Pacifico 🟧,El Pilar,Benítez
Sucre ,El Poblado,🌅 Oceano Pacifico 🟧,Cumanacoa,Montes
Sucre ,Guaca,🌅 Oceano Pacifico 🟧,Guaca,Valdez
Sucre ,Guiria,🌅 Oceano Pacifico 🟧,Guiria,Valdez
Sucre ,Irapa,🌅 Oceano Pacifico 🟧,Porlamar,Mariño
Sucre ,Manicuare,🌅 Oceano Pacifico 🟧,Cruz Salmerón Acosta,Cruz Salmerón Acosta
Sucre ,Mariguitar,🌅 Oceano Pacifico 🟧,Bolívar,Bolívar
Sucre ,Río Caribe,🌅 Oceano Pacifico 🟧,Arismendi,Arismendi
Sucre ,San Antonio del Golfo,🌅 Oceano Pacifico 🟧,Mejía,Mejía
Sucre ,San José de Aerocuar,🌅 Oceano Pacifico 🟧,San José de Aerocuar,Andrés Mata
Sucre ,San Vicente de Sucre,🌅 Oceano Pacifico 🟧,Cagua,Sucre
Sucre ,Santa Fe de Sucre,🌅 Oceano Pacifico 🟧,Cagua,Sucre
Sucre ,Tunapuy,🌅 Oceano Pacifico 🟧,Palo Negro,Libertador
Sucre ,Yaguaraparo,🌅 Oceano Pacifico 🟧,Libertad,Cajigal
Sucre ,Yoco,🌅 Oceano Pacifico 🟧,Yoco,Valdez
Táchira ,Abejales,🏆 Grupo Victoria 🟡,Palo Negro,Libertador
Táchira ,Borota,🏆 Grupo Victoria 🟡,Palo Negro,Libertador
Táchira ,Bramon,🏆 Grupo Victoria 🟡,Junín,Junín
Táchira ,Capacho,🏆 Grupo Victoria 🟡,Mamo,Independencia
Táchira ,Colón,🏆 Grupo Victoria 🟡,Ayacucho,Ayacucho
Táchira ,Coloncito,🏆 Grupo Victoria 🟡,Panamericano,Panamericano
Táchira ,Cordero,🏆 Grupo Victoria 🟡,La Azulita,Andrés Bello
Táchira ,El Cobre,🏆 Grupo Victoria 🟡,José María Vargas,José María Vargas
Táchira ,El Pinal,🏆 Grupo Victoria 🟡,Fernández Feo,Fernández Feo
Táchira ,Independencia,🏆 Grupo Victoria 🟡,Mamo,Independencia
Táchira ,La Fría,🏆 Grupo Victoria 🟡,García de Hevia,García de Hevia
Táchira ,La Grita,🏆 Grupo Victoria 🟡,Jáuregui,Jáuregui
Táchira ,La Pedrera,🏆 Grupo Victoria 🟡,Ayacucho,Ayacucho
Táchira ,La Tendida,🏆 Grupo Victoria 🟡,Samuel Darío Maldonado,Samuel Darío Maldonado
Táchira ,Las Delicias,🏆 Grupo Victoria 🟡,Delicias,Rafael Urdaneta
Táchira ,Las Hernández,🏆 Grupo Victoria 🟡,Samuel Darío Maldonado,Samuel Darío Maldonado
Táchira ,Lobatera,🏆 Grupo Victoria 🟡,Lobatera,Lobatera
Táchira ,Michelena,🏆 Grupo Victoria 🟡,Michelena,Michelena
Táchira ,Palmira,🏆 Grupo Victoria 🟡,Guásimos,Guásimos
Táchira ,Pregonero,🏆 Grupo Victoria 🟡,Uribante,Uribante
Táchira ,Queniquea,🏆 Grupo Victoria 🟡,Cagua,Sucre
Táchira ,Rubio,🏆 Grupo Victoria 🟡,Junín,Junín
Táchira ,San Antonio del Tachira,🏆 Grupo Victoria 🟡,Bolívar,Bolívar
Táchira ,San Cristobal,🏆 Grupo Victoria 🟡,La Concordia,San Cristóbal
Táchira ,San José de Bolívar,🏆 Grupo Victoria 🟡,Atapirire,Francisco de Miranda
Táchira ,San Josecito,🏆 Grupo Victoria 🟡,Torbes,Torbes
Táchira ,San Pedro del Río,🏆 Grupo Victoria 🟡,Ayacucho,Ayacucho
Táchira ,Santa Ana Táchira,🏆 Grupo Victoria 🟡,Córdoba,Córdoba
Táchira ,Seboruco,🏆 Grupo Victoria 🟡,Seboruco,Seboruco
Táchira ,Táriba,🏆 Grupo Victoria 🟡,Cárdenas,Cárdenas
Táchira ,Umuquena,🏆 Grupo Victoria 🟡,San Judas Tadeo,San Judas Tadeo
Táchira ,Ureña,🏆 Grupo Victoria 🟡,Pedro María Ureña,Pedro María Ureña
Trujillo ,Batatal,🏆 Grupo Victoria 🟡,Cagua,Sucre
Trujillo ,Betijoque,🏆 Grupo Victoria 🟡,Betijoque,Rafael Rangel
Trujillo ,Boconó,🏆 Grupo Victoria 🟡,Boconó,Boconó
Trujillo ,Carache,🏆 Grupo Victoria 🟡,Carache,Carache
Trujillo ,Chejende,🏆 Grupo Victoria 🟡,Arnoldo Gabaldón,Candelaria
Trujillo ,Cuicas,🏆 Grupo Victoria 🟡,Carache,Carache
Trujillo ,El Dividive,🏆 Grupo Victoria 🟡,Miranda,Miranda
Trujillo ,El Jaguito,🏆 Grupo Victoria 🟡,El Jaguito,José Felipe Márquez Cañizales
Trujillo ,Escuque,🏆 Grupo Victoria 🟡,Escuque,Escuque
Trujillo ,Isnotú,🏆 Grupo Victoria 🟡,Betijoque,Rafael Rangel
Trujillo ,Jajó,🏆 Grupo Victoria 🟡,Urdaneta,Urdaneta
Trujillo ,La Ceiba,🏆 Grupo Victoria 🟡,Santa Apolonia,La Ceiba
Trujillo ,La Concepción de Trujllo,🏆 Grupo Victoria 🟡,Andrés Linares,Trujillo
Trujillo ,La Mesa de Esnujaque,🏆 Grupo Victoria 🟡,Urdaneta,Urdaneta
Trujillo ,La Puerta,🏆 Grupo Victoria 🟡,Juan Ignacio Montilla,Valera
Trujillo ,La Quebrada,🏆 Grupo Victoria 🟡,Urdaneta,Urdaneta
Trujillo ,Mendoza Fría,🏆 Grupo Victoria 🟡,Andrés Linares,Trujillo
Trujillo ,Meseta de Chimpire,🏆 Grupo Victoria 🟡,La Azulita,Andrés Bello
Trujillo ,Monay,🏆 Grupo Victoria 🟡,Monay,Monseñor Carrillo
Trujillo ,Motatán,🏆 Grupo Victoria 🟡,Motatán,Motatán
Trujillo ,Pampán,🏆 Grupo Victoria 🟡,Pampán,Pampán
Trujillo ,Pampanito,🏆 Grupo Victoria 🟡,Pampanito,Pampanito
Trujillo ,Sabana de Mendoza,🏆 Grupo Victoria 🟡,Cagua,Sucre
Trujillo ,San Lázaro,🏆 Grupo Victoria 🟡,Andrés Linares,Trujillo
Trujillo ,Santa Ana de Trujillo,🏆 Grupo Victoria 🟡,Pampán,Pampán
Trujillo ,Tostós,🏆 Grupo Victoria 🟡,Boconó,Boconó
Trujillo ,Trujillo,🏆 Grupo Victoria 🟡,Andrés Linares,Trujillo
Trujillo ,Valera,🏆 Grupo Victoria 🟡,Juan Ignacio Montilla,Valera
La Guaira ,Archipiélago Los Roques,🔷 Grupo Disbattery 🟦,Caraballeda,Vargas
La Guaira ,Carayaca,🔷 Grupo Disbattery 🟦,Caraballeda,Vargas
La Guaira ,Litoral,🔷 Grupo Disbattery 🟦,Caraballeda,Vargas
Yaracuy ,Aroa,🔷 Grupo Disbattery 🟦,Bolívar,Bolívar
Yaracuy ,Boraure,🔷 Grupo Disbattery 🟦,La Trinidad,La Trinidad
Yaracuy ,Campo Elías de Yaracuy,🔷 Grupo Disbattery 🟦,San Javier,San Felipe
Yaracuy ,Chivacoa,🔷 Grupo Disbattery 🟦,Chivacoa,Bruzual
Yaracuy ,Cocorote,🔷 Grupo Disbattery 🟦,Cocorote,Cocorote
Yaracuy ,Farriar,🔷 Grupo Disbattery 🟦,Farriar,Veroes
Yaracuy ,Guama,🔷 Grupo Disbattery 🟦,Cagua,Sucre
Yaracuy ,Marín,🔷 Grupo Disbattery 🟦,Chivacoa,Bruzual
Yaracuy ,Nirgua,🔷 Grupo Disbattery 🟦,Salóm,Nirgua
Yaracuy ,Sabana de Parra,🔷 Grupo Disbattery 🟦,José Antonio Páez,José Antonio Páez
Yaracuy ,Salom,🔷 Grupo Disbattery 🟦,Salóm,Nirgua
Yaracuy ,San Felipe,🔷 Grupo Disbattery 🟦,San Javier,San Felipe
Yaracuy ,San Pablo de Yaracuy,🔷 Grupo Disbattery 🟦,Arístides Bastidas,Arístides Bastidas
Yaracuy ,Urachiche,🔷 Grupo Disbattery 🟦,Urachiche,Urachiche
Yaracuy ,Yaritagua,🔷 Grupo Disbattery 🟦,San Andrés,Peña
Yaracuy ,Yumare,🔷 Grupo Disbattery 🟦,Manuel Monge,Manuel Monge
Zulia ,Bachaquero,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Rafael Urdaneta,Valmore Rodríguez
Zulia ,Bobures,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Cagua,Sucre
Zulia ,Cabimas,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Ambrosio,Cabimas
Zulia ,Campo Concepción,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Campo Concepción,Jesús Enrique Lossada
Zulia ,Campo Mara,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",San Rafael,Mara
Zulia ,Campo Rojo,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Libertad,Lagunillas
Zulia ,Carrasquero,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",San Rafael,Mara
Zulia ,Casigua,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Jesús María Semprún,Jesús María Semprún
Zulia ,Chiquinquirá,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Antonio Borjas Romero,Maracaibo
Zulia ,Ciudad Ojeda,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Libertad,Lagunillas
Zulia ,El Batey,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Cagua,Sucre
Zulia ,El Carmelo,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Concepción,La Cañada de Urdaneta
Zulia ,El Chivo,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Carlos Quevedo,Francisco Javier Pulgar
Zulia ,El Guayabo,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Encontrados,Catatumbo
Zulia ,El Mene,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Santa Rita,Santa Rita
Zulia ,El Venado,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",San Timoteo,Baralt
Zulia ,Encontrados,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Encontrados,Catatumbo
Zulia ,Gibraltar,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Cagua,Sucre
Zulia ,Isla de Toas,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Isla de Toas,Almirante Padilla
Zulia ,La Concepción del Zulia,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",La Concepción del Zulia,Jesús Enrique Lossada
Zulia ,La Paz,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",La Paz,Jesús Enrique Lossada
Zulia ,La Sierrita,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",San Rafael,Mara
Zulia ,Lagunillas del Zulia,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Libertad,Lagunillas
Zulia ,Las Piedras de Perijá,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Bartolomé de las Casas,Machiques de Perijá
Zulia ,Los Cortijos,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",San Francisco,San Francisco
Zulia ,Machiques,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Bartolomé de las Casas,Machiques de Perijá
Zulia ,Maracaibo,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Antonio Borjas Romero,Maracaibo
Zulia ,Mene Grande,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",San Timoteo,Baralt
Zulia ,Palmarejo,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Donaldo García,Rosario de Perijá
Zulia ,Paraguaipoa,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Paraguaipoa,Guajira
Zulia ,Potrerito,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",San Timoteo,Baralt
Zulia ,Pueblo Nuevo del Zulia,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Carlos Quevedo,Francisco Javier Pulgar
Zulia ,Puertos de Altagracia,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Miranda,Miranda
Zulia ,Punta Gorda,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Ambrosio,Cabimas
Zulia ,Sabaneta de Palma,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Isla de Toas,Almirante Padilla
Zulia ,San Francisco,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",San Francisco,San Francisco
Zulia ,San José de Perijá,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Bartolomé de las Casas,Machiques de Perijá
Zulia ,San Rafael del Moján,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",San Rafael,Mara
Zulia ,San Timoteo,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",San Timoteo,Baralt
Zulia ,Santa Bárbara Del Zulia,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Moralito,Colón
Zulia ,Santa Cruz de Mara,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",San Rafael,Mara
Zulia ,Santa Cruz del Zulia,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Moralito,Colón
Zulia ,Santa Rita,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Santa Rita,Santa Rita
Zulia ,Sinamaica,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Sinamaica,Guajira
Zulia ,Tamare,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",San Rafael,Mara
Zulia ,Tía Juana,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Bergantín,Simón Bolívar
Zulia ,Villa del Rosario,"Para B2C 🏆 Grupo Victoria 🟡
Para B2B e Industrial 🌟 Luselago 🟨""",Villa del Rosario,Rosario de Perijá 
